Message;Average power(Watts);Average frecuenzy(GHz) ;Max power(Watts);Max frecuenzy(GHz) ;Min power(Watts);Min frecuenzy(GHz) ;C2 resident;C2 count;C2 latency;C1 resident;C1 count;C1 latency;C0 resident;C0 count;C0 latency;POLL resident;POLL count;POLL latency;time;
1400000-threshold-150;48.30;1.39;52.58;1.40;44.52;1.37;;;;0.176;13508;2;30.096;;;0.003;5210;0;59.75;
idle;39.31;1.22;40.67;1.28;37.95;1.17;;;;0.290;4966;2;5.612;;;0.001;389;0;20.02;
1400000-threshold-0;53.03;1.37;54.93;1.40;45.81;1.36;;;;0.100;5789;2;44.800;;;0.003;3327;0;39.88;
idle;39.01;1.23;40.47;1.27;37.68;1.17;;;;0.260;4756;2;5.555;;;0.000;107;0;20.02;
1400000-threshold-50;49.17;1.39;52.80;1.40;45.42;1.38;;;;0.185;13523;2;31.247;;;0.003;4538;0;60.94;
idle;39.30;1.22;41.41;1.27;38.40;1.17;;;;0.259;4939;2;5.813;;;0.001;432;0;20.02;
1400000-threshold-100;49.52;1.39;53.44;1.40;44.19;1.38;;;;0.217;14567;2;31.498;;;0.003;4720;0;58.68;
idle;39.13;1.22;40.20;1.26;38.40;1.18;;;;0.278;4683;2;5.636;;;0.000;98;0;20.02;
1400000-threshold-150;49.03;1.38;51.88;1.40;45.76;1.37;;;;0.219;13336;2;31.186;;;0.003;5481;0;55.95;
idle;39.08;1.22;40.12;1.24;38.28;1.19;;;;0.281;4860;2;5.462;;;0.000;94;0;20.02;
1400000-threshold-0;48.69;1.39;51.78;1.40;43.60;1.36;;;;0.215;14287;2;31.128;;;0.003;4443;0;62.27;
idle;39.31;1.22;40.52;1.27;38.18;1.18;;;;0.283;4574;2;5.705;;;0.001;155;0;20.02;
1400000-threshold-50;53.75;1.37;56.84;1.40;42.57;1.32;;;;0.144;6403;2;46.812;;;0.004;3933;0;37.54;
idle;39.57;1.22;40.80;1.32;38.11;1.17;;;;0.247;5080;2;6.010;;;0.001;132;0;20.02;
1400000-threshold-100;49.57;1.39;53.30;1.40;43.90;1.38;;;;0.181;13476;2;31.576;;;0.003;5154;0;58.34;
idle;39.88;1.22;44.99;1.29;37.67;1.16;;;;0.228;3993;2;6.375;;;0.000;95;0;20.02;
1400000-threshold-150;48.89;1.38;52.24;1.40;42.83;1.33;;;;0.191;13788;2;31.113;;;0.003;4443;0;56.30;
idle;39.54;1.29;41.01;1.38;38.16;1.22;;;;0.309;4476;2;5.679;;;0.000;105;0;20.02;
1500000-threshold-0;49.52;1.47;53.91;1.50;45.64;1.45;;;;0.181;13457;2;30.929;;;0.003;5304;0;59.93;
idle;39.33;1.29;41.45;1.38;37.29;1.21;;;;0.286;5242;2;5.838;;;0.001;160;0;20.02;
1500000-threshold-50;48.97;1.47;52.59;1.50;42.05;1.31;;;;0.189;12744;2;30.178;;;0.002;4837;0;61.21;
idle;39.55;1.30;41.61;1.35;37.91;1.25;;;;0.289;4620;2;5.889;;;0.000;104;0;20.02;
1500000-threshold-100;49.31;1.47;52.33;1.50;44.01;1.42;;;;0.207;13439;2;31.134;;;0.003;4789;0;56.06;
idle;39.14;1.27;41.28;1.32;37.86;1.23;;;;0.271;4807;2;5.444;;;0.000;107;0;20.01;
1500000-threshold-150;46.92;1.48;51.20;1.50;42.84;1.40;;;;0.194;20944;2;23.018;;;0.002;5701;0;81.06;
idle;39.38;1.28;40.94;1.36;38.56;1.22;;;;0.261;4694;2;5.539;;;0.000;111;0;20.02;
1500000-threshold-0;54.04;1.44;56.29;1.50;46.45;1.42;;;;0.146;6924;2;44.912;;;0.004;4448;0;38.59;
idle;39.45;1.28;44.78;1.41;38.14;1.23;;;;0.287;4682;2;5.544;;;0.001;123;0;20.02;
1500000-threshold-50;49.17;1.47;52.79;1.50;42.54;1.39;;;;0.222;12358;2;30.575;;;0.003;4855;0;59.26;
idle;39.70;1.28;42.88;1.32;38.42;1.20;;;;0.285;5296;2;5.683;;;0.000;109;0;20.02;
1500000-threshold-100;49.60;1.47;52.98;1.50;45.68;1.45;;;;0.216;13585;2;31.162;;;0.003;5089;0;56.91;
idle;39.42;1.28;41.57;1.35;37.88;1.20;;;;0.284;5083;2;5.642;;;0.001;126;0;20.02;
1500000-threshold-150;49.16;1.47;52.32;1.50;43.67;1.39;;;;0.204;12017;2;30.499;;;0.003;4278;0;56.62;
idle;39.08;1.27;40.83;1.35;37.85;1.21;;;;0.326;5079;2;5.424;;;0.001;122;0;20.02;
1500000-threshold-0;53.19;1.44;55.62;1.50;42.59;1.41;;;;0.211;7246;2;43.665;;;0.003;3895;0;40.22;
idle;39.21;1.29;41.64;1.41;38.10;1.24;;;;0.323;5232;2;5.719;;;0.001;135;0;20.02;
1500000-threshold-50;49.06;1.47;53.56;1.50;43.90;1.44;;;;0.212;15338;2;30.842;;;0.003;5882;0;57.76;
idle;39.43;1.29;43.39;1.36;38.23;1.22;;;;0.296;5334;2;5.940;;;0.000;105;0;20.02;
1500000-threshold-100;55.11;1.45;59.38;1.50;45.16;1.43;;;;0.141;5588;2;48.491;;;0.004;3990;0;34.14;
idle;39.14;1.28;40.34;1.33;37.62;1.21;;;;0.279;4868;2;5.406;;;0.000;107;0;20.02;
1500000-threshold-150;49.34;1.47;52.68;1.50;44.68;1.43;;;;0.222;14835;2;31.280;;;0.003;4892;0;54.60;
idle;39.21;1.27;42.40;1.36;37.94;1.19;;;;0.302;4923;2;5.416;;;0.001;325;0;20.02;
1500000-threshold-0;49.05;1.47;52.31;1.50;46.18;1.46;;;;0.250;14456;2;30.733;;;0.003;5712;0;60.88;
idle;39.61;1.29;41.66;1.37;37.63;1.23;;;;0.343;5026;2;5.880;;;0.001;115;0;20.02;
1500000-threshold-50;46.58;1.48;49.55;1.50;43.75;1.44;;;;0.273;23124;2;22.907;;;0.002;4685;0;86.65;
idle;39.17;1.28;40.79;1.34;37.39;1.21;;;;0.272;4566;2;5.504;;;0.000;111;0;20.02;
1500000-threshold-100;54.79;1.45;58.79;1.50;46.53;1.42;;;;0.152;6581;2;48.055;;;0.004;4147;0;35.01;
idle;38.95;1.28;39.83;1.31;37.54;1.23;;;;0.254;4702;2;5.332;;;0.000;89;0;20.02;
1500000-threshold-150;54.82;1.44;58.08;1.50;43.15;1.39;;;;0.154;5475;2;48.362;;;0.004;4084;0;33.02;
idle;38.99;1.28;40.55;1.34;37.69;1.21;;;;0.296;5294;2;5.459;;;0.000;97;0;20.02;
1500000-threshold-0;49.14;1.47;52.18;1.50;43.87;1.43;;;;0.231;15036;2;30.724;;;0.003;5108;0;61.64;
idle;38.99;1.28;40.43;1.33;37.85;1.17;;;;0.276;4800;2;5.428;;;0.000;97;0;20.02;
1500000-threshold-50;55.18;1.45;58.64;1.50;46.07;1.42;;;;0.138;5947;2;48.109;;;0.004;4899;0;35.83;
idle;39.21;1.27;41.19;1.37;37.66;1.19;;;;0.304;5179;2;5.684;;;0.000;113;0;20.00;
1500000-threshold-100;49.27;1.47;54.26;1.50;45.72;1.45;;;;0.199;13525;2;30.254;;;0.003;5010;0;58.83;
idle;39.34;1.29;42.93;1.44;37.70;1.23;;;;0.319;4868;2;5.605;;;0.001;109;0;20.02;
1500000-threshold-150;46.76;1.48;49.41;1.50;45.75;1.48;;;;0.230;22443;2;22.988;;;0.002;6158;0;82.86;
idle;39.26;1.28;41.30;1.36;37.82;1.21;;;;0.306;5287;2;5.520;;;0.001;129;0;20.01;
1500000-threshold-0;49.11;1.47;52.16;1.50;45.05;1.45;;;;0.220;16412;2;29.782;;;0.003;5303;0;66.81;
idle;39.41;1.29;41.89;1.36;37.88;1.23;;;;0.354;4797;2;5.536;;;0.000;120;0;20.02;
1500000-threshold-50;49.40;1.47;53.41;1.50;45.25;1.46;;;;0.242;14564;2;31.018;;;0.003;5152;0;59.76;
idle;38.96;1.28;39.80;1.31;38.09;1.24;;;;0.246;4998;2;5.335;;;0.001;138;0;20.02;
1500000-threshold-100;48.73;1.47;51.66;1.50;42.84;1.43;;;;0.189;13227;2;30.759;;;0.003;5279;0;58.26;
idle;38.85;1.27;40.67;1.34;37.13;1.23;;;;0.266;5254;2;5.398;;;0.001;105;0;20.01;
1500000-threshold-150;48.89;1.47;53.22;1.50;43.53;1.43;;;;0.246;13749;2;30.775;;;0.003;4552;0;57.22;
idle;39.05;1.33;40.60;1.37;37.57;1.28;;;;0.260;5207;2;5.159;;;0.001;122;0;20.02;
1600000-threshold-0;49.51;1.55;52.15;1.60;43.96;1.49;;;;0.199;12702;2;30.533;;;0.003;6021;0;58.52;
idle;39.04;1.34;40.22;1.39;37.53;1.28;;;;0.329;6033;2;5.246;;;0.001;222;0;20.02;
1600000-threshold-50;46.62;1.57;47.69;1.60;44.39;1.53;;;;0.234;21022;2;22.037;;;0.002;5254;0;88.74;
idle;39.42;1.36;42.22;1.48;38.41;1.30;;;;0.322;5358;2;5.538;;;0.000;102;0;20.02;
1600000-threshold-100;56.25;1.51;60.24;1.60;47.02;1.48;;;;0.121;5476;2;48.241;;;0.004;3919;0;33.66;
idle;39.10;1.33;39.91;1.38;37.99;1.26;;;;0.243;4707;2;5.064;;;0.001;111;0;20.02;
1600000-threshold-150;49.39;1.55;52.71;1.60;43.02;1.45;;;;0.237;12574;2;30.499;;;0.003;5855;0;54.33;
idle;39.25;1.34;42.61;1.51;37.53;1.25;;;;0.323;4919;2;5.531;;;0.000;87;0;20.02;
1600000-threshold-0;49.36;1.56;51.64;1.60;45.32;1.53;;;;0.259;13784;2;30.964;;;0.003;6147;0;58.07;
idle;39.12;1.34;40.50;1.41;37.66;1.28;;;;0.271;4438;2;5.367;;;0.001;202;0;20.01;
1600000-threshold-50;49.34;1.55;52.23;1.60;45.99;1.52;;;;0.231;14687;2;30.931;;;0.003;5556;0;55.99;
idle;39.30;1.34;42.50;1.43;38.14;1.27;;;;0.291;4924;2;5.405;;;0.000;120;0;20.02;
1600000-threshold-100;49.77;1.55;53.20;1.60;44.27;1.52;;;;0.220;12841;2;31.090;;;0.003;5880;0;55.26;
idle;39.21;1.35;40.20;1.50;37.82;1.26;;;;0.331;4978;2;5.389;;;0.000;112;0;20.02;
1600000-threshold-150;55.73;1.51;58.65;1.60;45.82;1.48;;;;0.171;5398;2;48.381;;;0.005;4889;0;32.32;
idle;39.04;1.34;40.51;1.43;37.24;1.24;;;;0.241;4752;2;5.255;;;0.001;118;0;20.02;
1600000-threshold-0;49.33;1.56;52.47;1.60;45.10;1.53;;;;0.282;14266;2;30.747;;;0.003;5799;0;59.37;
idle;39.10;1.34;40.46;1.47;37.82;1.23;;;;0.312;5202;2;5.183;;;0.001;130;0;20.02;
1600000-threshold-50;49.41;1.55;52.45;1.60;43.81;1.49;;;;0.189;14228;2;30.815;;;0.003;5776;0;56.65;
idle;39.34;1.35;42.09;1.41;37.70;1.27;;;;0.267;5025;2;5.565;;;0.000;108;0;20.00;
1600000-threshold-100;46.98;1.57;49.86;1.60;45.54;1.53;;;;0.236;22302;2;22.772;;;0.002;5911;0;83.57;
idle;39.11;1.34;41.34;1.40;37.59;1.24;;;;0.304;4822;2;5.166;;;0.001;130;0;20.02;
1600000-threshold-150;47.24;1.57;52.54;1.60;46.33;1.55;;;;0.213;21238;2;22.981;;;0.002;5755;0;81.15;
idle;38.99;1.35;40.53;1.43;37.69;1.25;;;;0.308;4958;2;5.361;;;0.001;161;0;20.02;
1600000-threshold-0;49.30;1.56;52.21;1.60;44.68;1.52;;;;0.229;14192;2;29.977;;;0.003;5510;0;60.13;
idle;39.09;1.34;40.08;1.48;37.59;1.29;;;;0.365;4752;2;5.223;;;0.000;107;0;20.02;
1600000-threshold-50;56.81;1.52;61.67;1.60;47.58;1.48;;;;0.167;5711;2;47.900;;;0.004;3966;0;35.01;
idle;39.32;1.34;42.37;1.41;37.76;1.29;;;;0.263;4550;2;5.425;;;0.000;124;0;20.02;
1600000-threshold-100;49.51;1.55;53.00;1.60;44.92;1.51;;;;0.223;14009;2;30.776;;;0.003;5149;0;54.95;
idle;39.36;1.33;41.55;1.41;38.24;1.24;;;;0.292;5158;2;5.314;;;0.000;125;0;20.02;
1600000-threshold-150;47.20;1.57;50.96;1.60;45.98;1.55;;;;0.221;18928;2;22.189;;;0.002;5121;0;83.89;
idle;39.08;1.34;41.03;1.51;37.92;1.25;;;;0.245;4654;2;5.237;;;0.000;107;0;20.02;
1600000-threshold-0;46.93;1.57;49.11;1.60;45.29;1.56;;;;0.239;22702;2;22.781;;;0.002;5153;0;87.75;
idle;38.94;1.34;40.32;1.42;37.27;1.24;;;;0.278;5007;2;5.257;;;0.001;393;0;20.00;
1600000-threshold-50;49.48;1.55;52.53;1.60;43.18;1.51;;;;0.193;12964;2;30.952;;;0.003;4480;0;56.37;
idle;39.23;1.34;41.36;1.43;37.79;1.26;;;;0.299;4933;2;5.401;;;0.001;121;0;20.02;
1600000-threshold-100;49.45;1.55;53.39;1.60;42.32;1.45;;;;0.210;13473;2;30.077;;;0.003;4967;0;57.30;
idle;39.24;1.35;40.70;1.42;37.92;1.28;;;;0.286;4531;2;5.316;;;0.000;106;0;20.01;
1600000-threshold-150;49.95;1.55;53.69;1.60;44.46;1.53;;;;0.181;11837;2;30.651;;;0.003;5142;0;55.39;
idle;39.23;1.34;40.85;1.41;37.51;1.27;;;;0.289;5378;2;5.351;;;0.001;476;0;20.02;
1600000-threshold-0;49.53;1.55;52.57;1.60;43.07;1.48;;;;0.216;13969;2;30.588;;;0.003;4996;0;58.37;
idle;39.19;1.32;40.82;1.41;37.65;1.23;;;;0.269;5311;2;5.209;;;0.001;125;0;20.00;
1600000-threshold-50;49.47;1.55;52.21;1.60;45.41;1.53;;;;0.218;13457;2;31.268;;;0.003;5191;0;55.91;
idle;39.31;1.34;41.39;1.49;38.03;1.25;;;;0.328;5363;2;5.515;;;0.001;149;0;20.02;
1600000-threshold-100;49.20;1.55;52.34;1.60;44.04;1.50;;;;0.207;14217;2;29.968;;;0.003;4875;0;57.55;
idle;39.12;1.33;40.58;1.40;37.72;1.25;;;;0.295;4661;2;5.269;;;0.001;127;0;20.02;
1600000-threshold-150;56.42;1.52;60.95;1.60;46.99;1.50;;;;0.192;6215;2;48.627;;;0.005;4921;0;32.40;
idle;49.15;1.38;50.79;1.43;44.82;1.27;;;;0.358;5938;2;4.829;;;0.001;162;0;20.02;
1700000-threshold-0;60.79;1.64;63.76;1.70;56.72;1.61;;;;0.219;13088;2;29.525;;;0.003;6114;0;57.17;
idle;50.37;1.36;52.10;1.47;48.47;1.25;;;;0.333;5134;2;4.784;;;0.001;140;0;20.02;
1700000-threshold-50;61.10;1.64;63.93;1.70;56.46;1.60;;;;0.260;13674;2;30.573;;;0.004;6380;0;53.34;
idle;49.58;1.36;52.12;1.43;47.05;1.30;;;;0.369;5486;2;4.641;;;0.000;127;0;20.02;
1700000-threshold-100;66.94;1.58;69.00;1.70;60.06;1.54;;;;0.161;5771;2;48.012;;;0.004;4627;0;31.83;
idle;50.31;1.36;52.29;1.48;47.77;1.25;;;;0.285;4757;2;4.928;;;0.001;239;0;20.02;
1700000-threshold-150;61.53;1.63;64.65;1.70;58.11;1.59;;;;0.267;13082;2;30.599;;;0.004;6720;0;50.76;
idle;49.82;1.37;52.17;1.51;47.24;1.26;;;;0.385;5722;2;4.808;;;0.001;252;0;20.02;
1700000-threshold-0;60.94;1.64;63.54;1.69;56.36;1.58;;;;0.225;12455;2;29.752;;;0.004;7075;0;57.62;
idle;49.87;1.37;52.15;1.52;47.76;1.28;;;;0.403;5460;2;4.819;;;0.001;187;0;20.02;
1700000-threshold-50;58.63;1.66;59.99;1.70;56.08;1.56;;;;0.311;21531;2;22.114;;;0.002;6975;0;79.45;
idle;49.78;1.36;52.44;1.45;47.95;1.31;;;;0.304;5363;2;4.773;;;0.001;429;0;20.02;
1700000-threshold-100;60.95;1.64;64.07;1.70;57.69;1.59;;;;0.259;12820;2;29.612;;;0.004;7108;0;53.99;
idle;49.98;1.38;51.85;1.49;48.67;1.29;;;;0.354;5773;2;4.814;;;0.001;633;0;20.02;
1700000-threshold-150;61.19;1.64;64.63;1.70;56.14;1.57;;;;0.273;13969;2;29.578;;;0.003;6109;0;54.10;
idle;50.48;1.37;52.40;1.54;48.10;1.27;;;;0.317;5145;2;5.033;;;0.000;129;0;20.01;
1700000-threshold-0;61.49;1.63;64.22;1.70;56.49;1.57;;;;0.221;13761;2;30.713;;;0.004;7064;0;55.38;
idle;50.04;1.36;51.23;1.41;48.20;1.30;;;;0.305;5028;2;4.691;;;0.001;163;0;20.02;
1700000-threshold-50;61.21;1.64;64.11;1.70;58.04;1.60;;;;0.287;15244;2;30.346;;;0.004;7338;0;53.78;
idle;50.54;1.38;52.68;1.49;48.72;1.28;;;;0.390;5900;2;5.057;;;0.001;160;0;20.01;
1700000-threshold-100;60.91;1.64;64.01;1.70;57.27;1.60;;;;0.251;12818;2;29.259;;;0.003;5578;0;56.75;
idle;50.24;1.37;52.02;1.46;48.61;1.31;;;;0.394;5439;2;4.845;;;0.001;278;0;20.02;
1700000-threshold-150;66.83;1.58;68.88;1.70;59.45;1.54;;;;0.169;5703;2;48.710;;;0.005;6080;0;30.23;
idle;49.87;1.36;51.75;1.46;47.94;1.27;;;;0.312;4966;2;4.519;;;0.001;212;0;20.02;
1700000-threshold-0;61.46;1.64;64.25;1.70;57.74;1.60;;;;0.233;14571;2;30.738;;;0.003;5781;0;56.15;
idle;50.44;1.37;54.42;1.55;48.88;1.29;;;;0.349;5604;2;5.023;;;0.000;119;0;20.02;
1700000-threshold-50;60.93;1.64;64.27;1.70;55.33;1.53;;;;0.233;13088;2;29.751;;;0.004;7282;0;55.16;
idle;50.40;1.36;52.45;1.46;48.87;1.27;;;;0.390;5683;2;4.721;;;0.000;135;0;20.02;
1700000-threshold-100;66.71;1.58;68.81;1.70;59.73;1.54;;;;0.156;5891;2;47.755;;;0.004;5178;0;31.91;
idle;50.43;1.37;51.39;1.55;48.25;1.29;;;;0.323;5111;2;4.999;;;0.001;133;0;20.02;
1700000-threshold-150;58.88;1.66;60.48;1.70;55.85;1.62;;;;0.304;21021;2;22.269;;;0.003;7594;0;76.40;
idle;50.13;1.35;51.39;1.42;48.09;1.26;;;;0.401;4725;2;4.620;;;0.000;104;0;20.02;
1700000-threshold-0;58.98;1.66;60.58;1.70;56.59;1.58;;;;0.327;24591;2;22.085;;;0.003;8257;0;83.64;
idle;50.03;1.36;51.80;1.46;47.28;1.29;;;;0.403;5297;2;4.577;;;0.000;145;0;20.02;
1700000-threshold-50;61.35;1.64;64.34;1.70;57.59;1.60;;;;0.248;14063;2;30.003;;;0.004;7239;0;55.83;
idle;50.61;1.37;52.29;1.44;48.95;1.29;;;;0.362;4827;2;4.801;;;0.001;172;0;20.01;
1700000-threshold-100;61.21;1.64;64.15;1.70;55.98;1.58;;;;0.221;12184;2;30.428;;;0.004;7257;0;52.60;
idle;50.70;1.36;52.51;1.46;48.54;1.29;;;;0.364;5591;2;4.921;;;0.001;244;0;20.02;
1700000-threshold-150;66.51;1.58;68.52;1.70;56.67;1.54;;;;0.155;6236;2;47.324;;;0.005;5825;0;31.48;
idle;50.54;1.37;52.29;1.43;49.16;1.30;;;;0.276;4895;2;4.757;;;0.001;161;0;20.02;
1700000-threshold-0;61.19;1.64;63.68;1.70;56.21;1.58;;;;0.237;14384;2;30.289;;;0.003;6421;0;55.53;
idle;50.72;1.38;52.38;1.50;49.54;1.27;;;;0.322;5631;2;4.991;;;0.001;159;0;20.02;
1700000-threshold-50;61.09;1.64;63.93;1.70;55.20;1.53;;;;0.277;13610;2;30.332;;;0.004;7094;0;54.19;
idle;50.00;1.37;52.20;1.48;47.14;1.25;;;;0.396;5313;2;4.673;;;0.001;157;0;20.02;
1700000-threshold-100;61.34;1.64;64.20;1.70;55.69;1.60;;;;0.267;13329;2;30.407;;;0.004;7567;0;52.53;
idle;50.27;1.36;53.01;1.49;48.33;1.29;;;;0.363;5282;2;5.011;;;0.001;138;0;20.02;
1700000-threshold-150;66.64;1.58;68.76;1.70;56.88;1.54;;;;0.167;5006;2;48.419;;;0.005;5118;0;30.09;
